Omavalitsus,Vaatlusperiood,"Asustustihedus, elanikku km2 kohta"
..Paide linn,2013,827.92
..Paide linn,2014,813.75872
..Paide linn,2015,796.04743
..Paide linn,2016,803.06324
..Albu vald,2013,4.44
..Albu vald,2014,4.42086
..Albu vald,2015,4.3688
..Albu vald,2016,4.57499
..Ambla vald,2013,11.9
..Ambla vald,2014,11.84139
..Ambla vald,2015,11.4946
..Ambla vald,2016,12.08283
..Imavere vald,2013,6.24
..Imavere vald,2014,6.0033
..Imavere vald,2015,6.13853
..Imavere vald,2016,6.42504
..Järva-Jaani vald,2013,12.01
..Järva-Jaani vald,2014,11.95395
..Järva-Jaani vald,2015,11.83712
..Järva-Jaani vald,2016,12.26326
..Kareda vald,2013,6.87
..Kareda vald,2014,6.6936
..Kareda vald,2015,6.55684
..Kareda vald,2016,6.34955
..Koeru vald,2013,9.23
..Koeru vald,2014,9.07863
..Koeru vald,2015,8.97387
..Koeru vald,2016,8.90634
..Koigi vald,2013,4.56
..Koigi vald,2014,4.46075
..Koigi vald,2015,4.36784
..Koigi vald,2016,4.67633
..Paide vald,2013,5.21
..Paide vald,2014,5.26298
..Paide vald,2015,5.17614
..Paide vald,2016,5.41233
..Roosna-Alliku vald,2013,7.58
..Roosna-Alliku vald,2014,7.31966
..Roosna-Alliku vald,2015,7.35472
..Roosna-Alliku vald,2016,7.84655
..Türi vald,2013,15.86
..Türi vald,2014,15.53414
..Türi vald,2015,15.45353
..Türi vald,2016,15.62902
..Väätsa vald,2013,6.56
..Väätsa vald,2014,6.53253
..Väätsa vald,2015,6.48319
..Väätsa vald,2016,6.56007
..Haapsalu linn,2013,988.86
..Haapsalu linn,2014,974.12653
..Haapsalu linn,2015,916.14067
..Haapsalu linn,2016,914.87827
..Hanila vald,2013,6.02
..Hanila vald,2014,5.92548
..Hanila vald,2015,5.75533
..Hanila vald,2016,6.10596
..Kullamaa vald,2013,5.06
..Kullamaa vald,2014,4.98374
..Kullamaa vald,2015,4.99265
..Kullamaa vald,2016,4.94811
..Lihula vald,2013,6.23
..Lihula vald,2014,6.12017
..Lihula vald,2015,5.84834
..Lihula vald,2016,6.04018
..Lääne-Nigula vald,2014,7.80353
..Lääne-Nigula vald,2015,7.76548
..Lääne-Nigula vald,2016,7.96792
..Martna vald,2013,2.94
..Martna vald,2014,2.88026
..Martna vald,2015,2.79379
..Martna vald,2016,2.80857
..Noarootsi vald,2013,2.36
..Noarootsi vald,2014,2.37212
..Noarootsi vald,2015,2.32995
..Noarootsi vald,2016,2.68587
..Nõva vald,2013,2.67
..Nõva vald,2014,2.61554
..Nõva vald,2015,2.60461
..Nõva vald,2016,2.75102
..Oru vald,2013,4.3
..Ridala vald,2013,12.77
..Ridala vald,2014,12.70705
..Ridala vald,2015,12.34658
..Ridala vald,2016,12.4463
..Risti vald,2013,4.89
..Taebla vald,2013,16.5
..Vormsi vald,2013,2.69
..Vormsi vald,2014,2.90541
..Vormsi vald,2015,2.9164
..Vormsi vald,2016,4.17983
..Kunda linn,2013,338.66
..Kunda linn,2014,326.37363
..Kunda linn,2015,319.84127
..Kunda linn,2016,311.11111
..Rakvere linn,2013,1463.44
..Rakvere linn,2014,1447.36842
..Rakvere linn,2015,1424.86034
..Rakvere linn,2016,1466.20112
..Haljala vald,2013,13.72
..Haljala vald,2014,13.46301
..Haljala vald,2015,13.4143
..Haljala vald,2016,13.57367
..Kadrina vald,2013,13.91
..Kadrina vald,2014,13.84403
..Kadrina vald,2015,13.83568
..Kadrina vald,2016,13.83285
..Laekvere vald,2013,4.24
..Laekvere vald,2014,4.18535
..Laekvere vald,2015,4.13791
..Laekvere vald,2016,4.29411
..Rakke vald,2013,7.12
..Rakke vald,2014,7.03502
..Rakke vald,2015,6.98358
..Rakke vald,2016,7.25954
..Rakvere vald,2013,16.99
..Rakvere vald,2014,16.61054
..Rakvere vald,2015,16.6052
..Rakvere vald,2016,16.13435
..Rägavere vald,2013,5.12
..Rägavere vald,2014,5.01324
..Rägavere vald,2015,4.92201
..Rägavere vald,2016,4.74292
..Sõmeru vald,2013,22.48
..Sõmeru vald,2014,21.97397
..Sõmeru vald,2015,21.92059
..Sõmeru vald,2016,20.47357
..Tamsalu vald,2013,17.8633
..Tamsalu vald,2014,17.74216
..Tamsalu vald,2015,17.47217
..Tamsalu vald,2016,17.718
..Tapa vald,2013,30.36
..Tapa vald,2014,29.69394
..Tapa vald,2015,29.30218
..Tapa vald,2016,28.69259
..Vihula vald,2013,4.59
..Vihula vald,2014,4.65027
..Vihula vald,2015,4.58706
..Vihula vald,2016,5.22445
..Vinni vald,2013,10.14
..Vinni vald,2014,9.95993
..Vinni vald,2015,9.85381
..Vinni vald,2016,9.61393
..Karksi vald,2013,10.01
..Karksi vald,2014,9.82734
..Karksi vald,2015,9.67341
..Karksi vald,2016,10.35704
..Kolga-Jaani vald,2013,4.22
..Kolga-Jaani vald,2014,4.18761
..Kolga-Jaani vald,2015,4.17412
..Kolga-Jaani vald,2016,4.56375
..Kõo vald,2013,6.86
..Kõo vald,2014,6.82457
..Kõo vald,2015,6.75187
..Kõo vald,2016,7.00616
..Kõpu vald,2013,2.71
..Kõpu vald,2014,2.62385
..Kõpu vald,2015,2.56826
..Kõpu vald,2016,2.44468
..Paistu vald,2013,10.97
..Pärsti vald,2013,17.09
..Saarepeedi vald,2013,13.4
..Suure-Jaani vald,2013,7.03
..Suure-Jaani vald,2014,6.98141
..Suure-Jaani vald,2015,6.8744
..Suure-Jaani vald,2016,7.06697
..Tarvastu vald,2013,8.21
..Tarvastu vald,2014,8.02934
..Tarvastu vald,2015,7.87411
..Tarvastu vald,2016,8.13373
..Viiratsi vald,2013,16.08
..Viljandi vald,2014,14.78309
..Viljandi vald,2015,14.62894
..Viljandi vald,2016,14.20315
..Võru linn,2013,908.45771
..Võru linn,2014,893.46127
..Võru linn,2015,892.40688
..Võru linn,2016,890.40115
..Antsla vald,2013,12.37
..Antsla vald,2014,12.16071
..Antsla vald,2015,12.04904
..Antsla vald,2016,12.27798
..Haanja vald,2013,5.77
..Haanja vald,2014,5.80747
..Haanja vald,2015,5.67231
..Haanja vald,2016,6.34549
..Lasva vald,2013,9.28
..Lasva vald,2014,9.28679
..Lasva vald,2015,9.24819
..Lasva vald,2016,9.77649
